model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1974_1984,1974,1983,50,5,relu,0.2,0.01,0.18519348389080847,0.24576947420159856
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1976_1986,1976,1985,100,20,relu,0.2,0.01,-5.4482617222435685,0.215089241962191
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1976_1986,1976,1985,100,20,relu,0.0,0.05,-1.5043432211853065,0.24374016385367725
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1976_1986,1976,1985,100,20,linear,0.2,0.01,-9.229788221636747,0.3224336900742002
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1976_1986,1976,1985,20,5,relu,0.1,0.01,-3.0217674687597498,0.09656121064728711
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1976_1986,1976,1985,50,5,linear,0.2,0.01,-9.164929509377973,0.20143955816725861
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1976_1986,1976,1985,50,5,relu,0.2,0.01,-5.307875508074866,0.3967813482876272
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1978_1988,1978,1987,100,20,relu,0.2,0.01,-4.244040574134771,0.4734526124024389
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1978_1988,1978,1987,100,20,relu,0.0,0.05,-1.9709192906712607,0.6106275536041139
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1978_1988,1978,1987,100,20,linear,0.2,0.01,-3.2976105353631855,0.5171586003090648
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1978_1988,1978,1987,20,5,relu,0.1,0.01,-2.898248856725552,0.2549772154900064
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1978_1988,1978,1987,100,10,linear,0.2,0.001,-3.272550796604274,0.6918726109482272
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1978_1988,1978,1987,50,5,linear,0.2,0.01,-3.536417313214206,0.6780036978128083
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1978_1988,1978,1987,50,5,relu,0.2,0.01,-2.6357642782457384,0.18490692530390332
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1980_1990,1980,1989,100,20,relu,0.2,0.01,-0.5563105392518284,0.506918470029098
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1980_1990,1980,1989,100,20,relu,0.0,0.05,-1.9219054369884012,0.6073896297998542
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1980_1990,1980,1989,100,20,linear,0.2,0.01,-2.994846120967794,0.46271131768133
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1980_1990,1980,1989,20,5,relu,0.1,0.01,-0.6633077177119555,0.5815372296856355
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1980_1990,1980,1989,100,10,linear,0.2,0.001,-2.127299985602358,0.6565289777088898
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1980_1990,1980,1989,50,5,linear,0.2,0.01,-5.134372427520676,0.2698336078846959
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1980_1990,1980,1989,50,5,relu,0.2,0.01,-2.1947521337242426,0.5294878753816122
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1982_1992,1982,1991,100,20,relu,0.2,0.01,-0.5624403561692326,0.2672893724296112
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1982_1992,1982,1991,100,20,relu,0.0,0.05,-1.6420237748278108,0.20299981644227214
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1982_1992,1982,1991,100,20,linear,0.2,0.01,-0.32431891743818153,0.1920925273027703
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1982_1992,1982,1991,20,5,relu,0.1,0.01,0.12266219359347674,0.49836037752705953
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1982_1992,1982,1991,100,10,linear,0.2,0.001,-0.9424726903554415,0.3259899654592263
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,linear,0.2,0.01,-0.5091275848195358,0.2374517210454957
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1982_1992,1982,1991,50,5,relu,0.2,0.01,0.0010753093504833888,0.44449229255719064
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1984_1994,1984,1993,100,20,relu,0.2,0.01,-0.6482680665646543,0.4350490953395519
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1984_1994,1984,1993,100,20,relu,0.0,0.05,-0.5662143425590547,0.3043117615895666
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1984_1994,1984,1993,100,20,linear,0.2,0.01,0.10330182487330808,0.1524309379759127
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1984_1994,1984,1993,20,5,relu,0.1,0.01,-0.27700317310003686,0.2807106780749578
